"","Method","Taxa","Factors","Df","Fvalue","P.unadj","Significance"
"377","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","site",1,14.3969914693359,0.00106119887297633,"**"
"378","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae","Residuals",21,NA,NA,NA
"379","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae","season",1,1.66499770972018,0.210957451889138,"ns"
"380","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae","site",1,1.44326106339476,0.242986824990229,"ns"
"381","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinomonadaceae","Residuals",21,NA,NA,NA
"382","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","season",1,0.317948077677419,0.578816030653964,"ns"
"383","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","site",1,13.2549852091297,0.0015286485895012,"**"
"384","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae","Residuals",21,NA,NA,NA
"385","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","season",1,10.846394014651,0.00346288170014807,"**"
"386","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","site",1,2.47376594321836,0.130706367681386,"ns"
"387","anova formula for season+site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae","Residuals",21,NA,NA,NA
"388","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","season",1,26.0185566918671,4.72554048654987e-05,"***"
"389","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","site",1,18.1982958088185,0.000343997529844255,"***"
"390","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007","Residuals",21,NA,NA,NA
"391","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","season",1,19.7097664231891,0.000227144952094811,"***"
"392","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","site",1,8.88759972809086,0.00712093487812552,"**"
"393","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidetes_BD2-2","Residuals",21,NA,NA,NA
"394","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae","season",1,1.59709121828706,0.220165165499341,"ns"
"395","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae","site",1,25.2546142885582,5.64501657889362e-05,"***"
"396","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae","Residuals",21,NA,NA,NA
"397","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","season",1,15.5981037292965,0.000733102233006845,"***"
"398","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","site",1,0.463571275213622,0.503398628295538,"ns"
"399","anova formula for season+site","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Opitutales|f__Puniceicoccaceae","Residuals",21,NA,NA,NA
"400","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae","season",1,1.58847173100661,0.221369901412495,"ns"
"401","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae","site",1,1.39097879315872,0.251429417881693,"ns"
"402","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhodomicrobiaceae","Residuals",21,NA,NA,NA
"403","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae","season",1,8.3514119067774,0.0087631620298368,"**"
"404","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae","site",1,2.66711507998613,0.117346312122336,"ns"
"405","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudohongiellaceae","Residuals",21,NA,NA,NA
"406","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales|f__Longimicrobiaceae","season",1,2.81138358495087,0.108422249203615,"ns"
"407","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales|f__Longimicrobiaceae","site",1,0.2348707143631,0.6329520802428,"ns"
"408","anova formula for season+site","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia|o__Longimicrobiales|f__Longimicrobiaceae","Residuals",21,NA,NA,NA
"409","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae","season",1,2.14545010898049,0.157804519441529,"ns"
"410","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae","site",1,27.5552471759461,3.33474963164681e-05,"***"
"411","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae","Residuals",21,NA,NA,NA
"412","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales|f__Balneolaceae","season",1,0.81457226999005,0.377008096774746,"ns"
"413","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales|f__Balneolaceae","site",1,13.3642244725536,0.00147532643127009,"**"
"414","anova formula for season+site","k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales|f__Balneolaceae","Residuals",21,NA,NA,NA
"415","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae","season",1,22.8951689552736,9.97598201387226e-05,"***"
"416","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae","site",1,1.41704509170258,0.24717366395145,"ns"
"417","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae","Residuals",21,NA,NA,NA
"418","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae","season",1,0.365656213318689,0.55185998618247,"ns"
"419","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae","site",1,4.69698971629167,0.04185946365164,"*"
"420","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae","Residuals",21,NA,NA,NA
"421","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","season",1,23.0227472080354,9.66555671888036e-05,"***"
"422","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","site",1,1.92644389603078,0.179699134146893,"ns"
"423","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae","Residuals",21,NA,NA,NA
"424","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae","season",1,33.7741899241721,9.07443505117976e-06,"***"
"425","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae","site",1,17.6890048343463,0.000397190558844358,"***"
"426","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae","Residuals",21,NA,NA,NA
"427","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae","season",1,2.28511213432254,0.145523893582994,"ns"
"428","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae","site",1,2.28511213432254,0.145523893582994,"ns"
"429","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Blattabacteriaceae","Residuals",21,NA,NA,NA
"430","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae","season",1,5.49240651754033,0.0290180687237492,"*"
"431","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae","site",1,45.4665862241092,1.13691968444384e-06,"***"
"432","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Synechococcales|f__Cyanobiaceae","Residuals",21,NA,NA,NA
"433","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae","season",1,59.4090741107603,1.48775522479828e-07,"***"
"434","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae","site",1,13.2811623363543,0.00151568016402353,"**"
"435","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae","Residuals",21,NA,NA,NA
"436","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae","season",1,4.37061205351493,0.0489066690588107,"*"
"437","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae","site",1,6.74117549151681,0.0168491275351668,"*"
"438","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae","Residuals",21,NA,NA,NA
"439","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae","season",1,2.16377395933178,0.156123868579829,"ns"
"440","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae","site",1,5.19564047883999,0.033202153142497,"*"
"441","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae","Residuals",21,NA,NA,NA
"442","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__KI89A_clade","season",1,0.695383593324096,0.413724489661176,"ns"
"443","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__KI89A_clade","site",1,6.03787278460447,0.0227843139238296,"*"
"444","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__KI89A_clade","Residuals",21,NA,NA,NA
"445","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Flammeovirgaceae","season",1,12.6444040109737,0.0018686999907131,"**"
"446","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Flammeovirgaceae","site",1,26.0493026046634,4.69214799016938e-05,"***"
"447","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Flammeovirgaceae","Residuals",21,NA,NA,NA
"448","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae","season",1,1.38478396435195,0.25245475091521,"ns"
"449","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae","site",1,3.51382097460734,0.0748378721096838,"ns"
"450","anova formula for season+site","k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae","Residuals",21,NA,NA,NA
"451","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae","season",1,0.00248457394395419,0.960716566720026,"ns"
"452","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae","site",1,34.6455742867436,7.65607400736348e-06,"***"
"453","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Nitrincolaceae","Residuals",21,NA,NA,NA
"454","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae","season",1,1.94997043245469,0.177176438866651,"ns"
"455","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae","site",1,10.8294627936675,0.0034837255184061,"**"
"456","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Ectothiorhodospirales|f__Ectothiorhodospiraceae","Residuals",21,NA,NA,NA
"457","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116","season",1,0.298839191917317,0.590373001936783,"ns"
"458","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116","site",1,45.2845514286943,1.17079060588974e-06,"***"
"459","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116","Residuals",21,NA,NA,NA
"460","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas","season",1,0.763001386244571,0.392270309806358,"ns"
"461","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas","site",1,15.6797334731685,0.000715256081206814,"***"
"462","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas","Residuals",21,NA,NA,NA
"463","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius","season",1,56.4271804963313,2.22587154530557e-07,"***"
"464","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius","site",1,8.51680314081969,0.00821565464598546,"**"
"465","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius","Residuals",21,NA,NA,NA
"466","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter","season",1,0.298626292653781,0.590504462483689,"ns"
"467","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter","site",1,0.0932698612783195,0.763067256855998,"ns"
"468","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter","Residuals",21,NA,NA,NA
"469","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella","season",1,1.5461747265442,0.227404275253898,"ns"
"470","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella","site",1,0.594129246185096,0.449412670756685,"ns"
"471","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella","Residuals",21,NA,NA,NA
"472","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella","season",1,5.15953887674006,0.0337560101372856,"*"
"473","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella","site",1,2.45036690710693,0.132442883712862,"ns"
"474","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella","Residuals",21,NA,NA,NA
"475","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina","season",1,48.5212862076555,7.03026085563847e-07,"***"
"476","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina","site",1,75.2942102654767,2.18500980268651e-08,"***"
"477","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina","Residuals",21,NA,NA,NA
"478","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium","season",1,3.94741173757082,0.0601458025898325,"ns"
"479","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium","site",1,1.54471559715695,0.227616147543156,"ns"
"480","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium","Residuals",21,NA,NA,NA
"481","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter","season",1,17.9248789812065,0.000371507734587244,"***"
"482","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter","site",1,1.01183786057134,0.325913593198494,"ns"
"483","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter","Residuals",21,NA,NA,NA
"484","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga","season",1,108.638484469506,9.33362868157479e-10,"***"
"485","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga","site",1,1.92627447229383,0.179717460400556,"ns"
"486","anova formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga","Residuals",21,NA,NA,NA
"487","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides","season",1,39.4385337903489,3.14986732204894e-06,"***"
"488","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides","site",1,100.117336241355,1.91763121598295e-09,"***"
"489","anova formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides","Residuals",21,NA,NA,NA
"490","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter","season",1,3.79754774346347,0.0648134745564976,"ns"
"491","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter","site",1,7.57872751100651,0.0119202238205961,"*"
"492","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter","Residuals",21,NA,NA,NA
"493","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia","season",1,66.4913024503913,6.05543345811294e-08,"***"
"494","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia","site",1,0.868592658852671,0.361937151071371,"ns"
"495","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia","Residuals",21,NA,NA,NA
"496","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas","season",1,5.47011567825748,0.0293108326489135,"*"
"497","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas","site",1,0.0223549973047761,0.882573215002171,"ns"
"498","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas","Residuals",21,NA,NA,NA
"499","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Limibaculum","season",1,2.11742384437443,0.160417663401872,"ns"
"500","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Limibaculum","site",1,0.38615412638384,0.541015526980649,"ns"
"501","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Limibaculum","Residuals",21,NA,NA,NA
"502","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga","season",1,1.31940129193758,0.263615511600625,"ns"
"503","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga","site",1,15.3018842904043,0.000802098430630432,"***"
"504","anova formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga","Residuals",21,NA,NA,NA
"505","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus","season",1,11.5246390011219,0.0027312171787589,"**"
"506","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus","site",1,25.2676395059437,5.62778462036655e-05,"***"
"507","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae|g__Acuticoccus","Residuals",21,NA,NA,NA
"508","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia","season",1,51.8222690612474,4.28249883656648e-07,"***"
"509","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia","site",1,2.55524794205475,0.12486707854502,"ns"
"510","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae|g__Woeseia","Residuals",21,NA,NA,NA
"511","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania","season",1,5.30488094604101,0.0315876390387428,"*"
"512","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania","site",1,52.1443825956928,4.0853367673146e-07,"***"
"513","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania","Residuals",21,NA,NA,NA
"514","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium","season",1,0.987748126050326,0.331607921615822,"ns"
"515","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium","site",1,3.08642859236058,0.0935207011037665,"ns"
"516","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium","Residuals",21,NA,NA,NA
"517","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__Marinobacter","season",1,20.1824947007569,0.000200175306469278,"***"
"518","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__Marinobacter","site",1,60.4515163326462,1.29694332101303e-07,"***"
"519","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__Marinobacter","Residuals",21,NA,NA,NA
"520","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10","season",1,19.9729553217267,0.000211669182203029,"***"
"521","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10","site",1,1.93861229666743,0.178388880809151,"ns"
"522","anova formula for season+site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10","Residuals",21,NA,NA,NA
"523","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Croceibacterium","season",1,3.08002623088941,0.0938392163898447,"ns"
"524","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Croceibacterium","site",1,52.7644390203851,3.73321767713184e-07,"***"
"525","anova formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Croceibacterium","Residuals",21,NA,NA,NA
"526","anova formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Pleurocapsa_PCC-7319","season",1,0.0409980859216906,0.841490436354697,"ns"
